category,record_id,image_filename,associated_title,city,source_page,association_status
gas-tank,gas-tank-001,8c23a18e-f764-4784-80c3-242e401f2d0a_edited.jpg,Walnut Creek-Bradford White 50-Gallon 94595,Walnut Creek,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-002,Kim.png,Burlingame -Bradford White 40-Gallon 94595,Burlingame,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-003,F089E7DE-5F34-4C37-8124-655AF1E4BED3_edited.jpg,Walnut Creek -Bradford White 50-Gallon 94595,Walnut Creek,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-004,bradford_white_40_gallon_edited.jpg,Concord -Bradford White 40 Gallon Gas Tank Water Heater Installation,Concord,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-005,40 gallon bradford white_edited.jpg,Pleasanton -Bradford White 40 Gallon Gas Tank Water Heater Installation,Pleasanton,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-006,dorothy.jpg,Los Altos Hills -Bradford White 40 Gallon Gas Tank Water Heater Installation,Los Altos Hills,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-007,Annalissa.jfif,San Francisco -Bradford White 50 Gallon Gas Tank Water Heater Installation,San Francisco,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-008,Harminder.png,Sunnyvale-Bradford White 40 Gallon Gas Tank Water Heater Installation,Sunnyvale,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-009,Hilton.jfif,Palo Alto - Bradford White 30 Gallon Gas Tank Water Heater Installation,Palo Alto,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-010,IMG_8947_edited.jpg,Danville - Bradford White 75 Gallon Gas Tank Water Heater Installation,Danville,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-011,neil_edited.jpg,Union City - Bradford White 50 Gallon Gas Tank Water Heater Installation,Union City,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-012,Keith.png,San Mateo - Bradford White 40 Gallon Gas Tank Water Heater Installation,San Mateo,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-013,Gabby.png,San Francisco - Bradford White 50 Gallon Gas Tank Water Heater Installation,San Francisco,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-014,DavidSmith.jfif,San Mateo - Rheem 40 Gallon Gas Water Heater Installation,San Mateo,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-015,Blackburn.1.png,Palo Alto - Bradford White 75 Gallon Gas Water Heater Installation,Palo Alto,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-016,Harjit.LosAltos.jpg,Los Altos Hills - Bradford White 75 Gallon Gas Water Heater Installation,Los Altos Hills,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-017,Yibo.Burlingame.jpg,Burlingame -Bradford White 50 Gallon Gallon 'Tall' Gas Water Heater Installation,Burlingame,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-018,93FDC8CA-1A48-4136-8140-98B45EEDA8B5 (1)_edited.jpg,Danville/Blackhawk - Bradford White 50-gallon Gas Tank Water Heater Installation 94526,Danville/Blackhawk,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-019,CB16344B-8E48-47AD-9F50-25418BAA2473_edited.jpg,Livermore - Bradford White 40-gallon Gas Tank Water Heater Installation 94550,Livermore,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-020,chan_edited.png,San Francisco - Bradford White 40-gallon Gas Tank Water Heater Installation 94116,San Francisco,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-021,shawn_edited.jpg,San Jose - Bradford White 40-gallon Gas Tank Water Heater Installation 95123,San Jose,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-022,0FA2D126-C790-4A01-BFC2-4E8757EEF34C_edited.jpg,Walnut Creek - Bradford White 40-gallon Gas Tank Water Heater Installation 94595,Walnut Creek,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-023,A69B7DCC-7E7E-45AB-8C94-57FA4EE950DF_edi,Fremont - Bradford White 50-gallon Gas Tank Water Heater Installation,Fremont,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-024,shishir.png,San Ramon - Bradford White 50-Gallon Water Heater Installation 94583,San Ramon,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-025,Screenshot 2025-12-19 085350_edited.jpg,Daly City - Rheem 50-gallon Gas Tank Water Heater Installation,Daly City,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-026,FA0C7DF3-AF66-4156-ADC0-53220C89C5ED_edited.jpg,San Bruno - Bradford White 50-gallon Gas Tank Water Heater Installation,San Bruno,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-027,B4661B73-0F46-4D52-A6C8-FB996CC2FA18_edited.jpg,Concord - Bradford White 40-gallon Gas Tank Water Heater Installation 94519,Concord,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-028,eric_edited.jpg,Danville - Bradford White 50-gallon Gas Tank Water Heater Installation 94506,Danville,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-029,georgia,San Carlos - Bradford White 40-gallon Gas Tank Water Heater Installation 94070,San Carlos,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-030,eyJidWNrZXQiOiJqb2JiZXIiLCJrZXkiOiJub3RlX2ZpbGVfYXR0YWNobWVudHMvOTY3Ny00MDY4OTE5NzYvb3JpZ2,Danville -Bradford White 40-Gallon 94526,Danville,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-031,IMG_9439_edited.jpg,San Ramon -Bradford White 50-Gallon 94595,San Ramon,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-032,ao_smith_power_vent_edited.jpg,Dublin -AO Smith 50 Gallon Power Vent Gas Tank Water Heater Installation,Dublin,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-033,0661050c-204c-45ed-bdda-f36398dc5647.png,San Francisco -Bradford White 75 Gallon Gas Tank Water Heater Installation,San Francisco,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-034,b6b757f0-66d3-41a6-94e3-abb04421ac6c.png,Belmont -Bradford White 50 Gallon Gas Tank Water Heater Installation,Belmont,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-035,Xi.jfif,Palo Alto -Bradford White 50 Gallon Gas Tank Water Heater Installation,Palo Alto,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-036,ZHOU.png,Palo Alto -Bradford White 40 Gallon Gas Tank Water Heater Installation,Palo Alto,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-037,IMG_8410.HEIC,San Carlos - Rheem 50 Gallon Gas Tank Water Heater Installation,San Carlos,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-038,40_gallon_bradford_white_edited.jpg,Danville - Bradford White 40 Gallon Gas Tank Water Heater Installation,Danville,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-039,AFC0647A-4919-40EC-AD06-196EB7818438_edited.jpg,Danville - Bradford White 40 Gallon Gas Tank Water Heater Installation,Danville,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-040,bradford 75 gallon,Danville - Bradford White 75 Gallon Gas Tank Water Heater Installation,Danville,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-041,ryan_edited.jpg,San Francisco - Bradford White 40 Gallon Gas Tank Water Heater Installation 94109,San Francisco,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-042,erich_edited.jpg,San Francisco - Bradford White 40 Gallon Gas Tank Water Heater Installation,San Francisco,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-043,Marcos.png,Redwood Shores - Bradford White 50 Gallon Gas Water Heater Installation,Redwood Shores,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-044,Vadim.png,San Francisco - 100 Gallon Bradford White 'Light Duty' Commercial Gas Water Heater,San Francisco,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-045,G.Norman.SF.png,San Francisco - Bradford White 50 Gallon Gas Water Heater Installation,San Francisco,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-046,441B14D4-7ACC-4267-8A09-E5AD15D5EA2E_edited.jpg,Livermore - Bradford White 50-gallon Gas Tank Water Heater Installation 94550,Livermore,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-047,Screenshot 2026-01-22 142958_edited.jpg,Castro Valley - Bradford White 40-gallon Gas Tank Water Heater Installation 94552,Castro Valley,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-048,chris_edited_edited.jpg,San Carlos - Bradford White 50-gallon Gas Tank Water Heater Installation 94070,San Carlos,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-049,jp_edited.jpg,Fremont - Bradford White 40-gallon Gas Tank Water Heater Installation 94536,Fremont,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-050,lesley_edited.jpg,Daly City - Bradford White 40-gallon Gas Tank Water Heater Installation 94015,Daly City,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-051,0021C00A-4946-4A87-A7D7-451CCF7C0303_edited.jpg,Foster City - Bradford White 50-gallon Gas Tank Water Heater Installation 94404,Foster City,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-052,kam.png,San Ramon - Bradford White 50-Gallon Water Heater Installation 94583,San Ramon,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-053,shiela_edited.jpg,San Mateo - Bradford White 40-gallon Gas Tank Water Heater Installation,San Mateo,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
