job_id,city,zip,job_title,description,image_filename,source_page
GT-001,Walnut Creek,94595,Walnut Creek-Bradford White 50-Gallon 94595,"Homeowner's very old 50-gallon GE water heater failed. We replaced with a new Bradford White 50-gallon URG250T6N, and added a drain pan and sediment trap.",8c23a18e-f764-4784-80c3-242e401f2d0a_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-002,Burlingame,94595,Burlingame -Bradford White 40-Gallon 94595,Homeowner's old 40-gallon water heater failed over the weekend. Received the request on Sunday afternoon and installed a new 40 Gallon unit the following day.,Kim.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-003,Walnut Creek,94595,Walnut Creek -Bradford White 50-Gallon 94595,Owner wanted to downsize from old 75-gallon to a new 50-gallon. We replaced with Bradford White and included drain pan and drip leg which were missing.,F089E7DE-5F34-4C37-8124-655AF1E4BED3_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-004,Concord,94520,Concord -Bradford White 40 Gallon Gas Tank Water Heater Installation,We replaced an old 40-gallon water heater with a new Bradford White 40k btu unit. This install included a 4 year warranty upgrade. Model URG240T6N 94520,bradford_white_40_gallon_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-005,Pleasanton,94568,Pleasanton -Bradford White 40 Gallon Gas Tank Water Heater Installation,Homeowner had 27-year old 50-gallon water heater and wanted to replace before it failed. They downsized to a 40-gallon to save on installation and energy costs. 94568,40 gallon bradford white_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-006,Los Altos Hills,,Los Altos Hills -Bradford White 40 Gallon Gas Tank Water Heater Installation,Installed a 40 Gallon Bradford White Gas Tank Water Heater,dorothy.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-007,San Francisco,,San Francisco -Bradford White 50 Gallon Gas Tank Water Heater Installation,Customer 20 yea old Water Heater failed. Installed a 50 Gallon Bradford White Unit within 24 hours.,Annalissa.jfif,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-008,Sunnyvale,,Sunnyvale-Bradford White 40 Gallon Gas Tank Water Heater Installation,Customers 40 Gallon Rheem leaked from the top and bottom. We replaced with a 40 Gallon Bradford White model the next day.,Harminder.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-009,Palo Alto,,Palo Alto - Bradford White 30 Gallon Gas Tank Water Heater Installation,Property Manager requested to replace an old and failed gas tank water heater. Replaced with a 30 gallon Bradford White the same day.,Hilton.jfif,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-010,Danville,94526,Danville - Bradford White 75 Gallon Gas Tank Water Heater Installation,"Homeowner had 11 year old 75 gallon tank with undersized expansion tank and recirc pump. We installed new 75 gallon Bradford White, a properly sized 4.8g Zilmet expansion tank, and added a drain pan. 94526",IMG_8947_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-011,Union City,94587,Union City - Bradford White 50 Gallon Gas Tank Water Heater Installation,Homeowner in Union City has a sudden leak in the middle of night. We inspected and advised replacement. Installed a new 50 gallon water heater paired with a Grundfos Alpha HWR installed on existing return line. 94587,neil_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-012,San Mateo,,San Mateo - Bradford White 40 Gallon Gas Tank Water Heater Installation,Homeowner requested to replace his 11 year old Rheem Gas Tank Water Heater. Installed a 40 Gallon Bradford White,Keith.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-013,San Francisco,,San Francisco - Bradford White 50 Gallon Gas Tank Water Heater Installation,Homeowner's 15 year old Bradford White Gas Tank Water Heater finally failed. Received a request at 8:00pm. Replaced with a 50 Gallon Bradford White in less then 24 hours.,Gabby.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-014,San Mateo,,San Mateo - Rheem 40 Gallon Gas Water Heater Installation,Homeowner's 40 Gallon Rheem Gas Water Heater leaked from the top and bottom indicating total failure. Installed a new 40 Gallon Rheem Water Heater - as requested.,DavidSmith.jfif,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-015,Palo Alto,,Palo Alto - Bradford White 75 Gallon Gas Water Heater Installation,Client requested to install a new 75 Gallon Water Heater before it failed. We were able to complete the install within 48 hours.,Blackburn.1.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-016,Los Altos Hills,,Los Altos Hills - Bradford White 75 Gallon Gas Water Heater Installation,Homeowner had an existing 75 Gallon AO Smith Water Heater which failed and started leaking. Installed a new Bradford White within 48 hours.,Harjit.LosAltos.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-017,Burlingame,,Burlingame -Bradford White 50 Gallon Gallon 'Tall' Gas Water Heater Installation,Homeowner reached out at 9:00 pm as their 50 Gallon Gas Water Heater failed and started leaking. Installation was completed in less then 24 hours.,Yibo.Burlingame.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-018,Danville/Blackhawk,94526,Danville/Blackhawk - Bradford White 50-gallon Gas Tank Water Heater Installation 94526,Homeowner had a leaky old unit. We installed 50-gallon 40k BTU Bradford White.,93FDC8CA-1A48-4136-8140-98B45EEDA8B5 (1)_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-019,Livermore,94550,Livermore - Bradford White 40-gallon Gas Tank Water Heater Installation 94550,"Homeowner had an old unit, and wanted to replace before it failed. We installed 40-gallon Bradford White.",CB16344B-8E48-47AD-9F50-25418BAA2473_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-020,San Francisco,94116,San Francisco - Bradford White 40-gallon Gas Tank Water Heater Installation 94116,"Homeowner had an older unit, which was had a leak. We installed 40-gallon Bradford White.",chan_edited.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
